List A,List B1,List B2
Arabic,Accountancy / Book keeping,Agriculture
Assamese,Anthropology,Engineering Graphics
Bengali,Biology / Biological Studies / Biotechnology / Biochemistry,Entrepreneurship
Bodo,Business Studies,Fine Arts / Visual Arts (Sculpture/Painting)/ Commercial Art
Chinese,Chemistry,Knowledge Traditions and Practices of India (KTPI)
Dogri,Computer Science / Informatics Practices,Mass Media / Mass Communication
English,Economics / Business Economics,Performing Arts
French,Environmental Studies,Physical Education / NCC / Yoga
German,Geography / Geology,Teaching Aptitude
Gujarati,History,
Hindi,Home Science,
Italian,Legal Studies,
Japanese,Mathematics / Applied Mathematics,
Kannada,Physics,
Kashmiri,Political Science,
Konkani,Psychology,
Maithili,Sanskrit,
Malayalam,Sociology,
Manipuri,,
Marathi,,
Nepali,,
Odia,,
Persian,,
Punjabi,,
Russian,,
Sanskrit,,
Santhali,,
Sindhi,,
Spanish,,
Tamil,,
Telugu,,
Tibetan,,
Urdu,,
"Annexure – I
B.A. Program Combinations",,,,,,,,,,,
Aditi Mahavidyalaya (W),,,,,,,,,,,
7,B.A Program (Economics + Psychology),4,3,2,1,1,0,0,1,1,0
8,B.A Program (English + German),4,2,2,2,1,0,0,1,1,0
9,B.A Program (English + History),2,2,1,1,0,0,0,0,0,0
10,B.A Program (English + Philosophy),3,2,1,0,1,0,0,0,0,0
11,B.A Program (English + Psychology),5,3,2,1,1,0,0,1,1,0
12,B.A Program (Entrepreneurship and Small Business (ESB) + Mathematics),2,2,1,0,1,0,0,0,0,0
13,B.A Program (German + History),3,1,1,0,1,0,0,0,0,0
14,B.A Program (German + Political Science),4,3,2,1,1,0,0,1,1,0
15,B.A Program (Hindi + History),4,3,2,1,1,0,0,1,1,0
16,B.A Program (Hindi + Political Science),10,6,3,2,1,0,0,1,1,1
17,B.A Program (History + Philosophy),2,2,1,0,1,0,0,0,0,0
18,B.A Program (History + Political Science),18,11,7,4,3,0,0,2,2,1
19,B.A Program (Philosophy + Political Science),7,4,2,1,2,0,0,0,1,1
20,B.A Program (Philosophy + Psychology),2,2,1,0,1,0,0,0,0,0
,TOTAL,93,62,35,17,23,0,0,10,11,4
,,,,,,,,,,,
Hansraj College,,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Commerce + Economics),20,14,8,4,4,0,0,3,3,3
2,B.A Program (Economics + History),20,14,8,4,4,0,0,3,3,3
3,B.A Program (Hindi + Physical Education),20,14,8,4,4,0,0,3,3,3
4,B.A Program (Philosophy + Physical Education),20,14,8,4,4,0,0,3,3,3
5,B.A Program (Sanskrit + Philosophy),20,14,8,4,4,,,3,3,3
,TOTAL,100,70,40,20,20,0,0,15,15,15
,,,,,,,,,,,
Hindu College,,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (English + Economics),5,4,2,1,1,0,0,1,1,1
2,B.A Program (Hindi + Philosophy),5,3,2,1,1,0,0,1,1,1
3,B.A Program (History + Political Science),5,4,2,1,1,0,0,1,1,1
4,B.A Program (Sanskrit + Political Science),5,3,2,1,1,0,0,1,1,1
,TOTAL,20,14,8,4,4,0,0,4,4,4
,,,,,,,,,,,
Indraprastha College for Women (W),,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Commerce + Computer Applications),5,3,2,1,1,0,0,0,1,0
2,B.A Program (Commerce + Economics),3,3,2,1,1,0,0,0,1,0
3,B.A Program (Commerce + Mathematics),3,3,2,1,1,0,0,1,1,1
4,B.A Program (Commerce + Psychology),4,2,1,1,0,0,0,1,0,1
5,B.A Program (Computer Applications + Economics),3,3,2,1,1,0,0,1,1,1
6,B.A Program (Computer Applications + Mathematics),8,5,2,1,2,0,0,0,0,0
7,B.A Program (Economics + Mathematics),5,3,2,1,1,0,0,1,1,1
8,B.A Program (Economics + Political Science),4,2,1,1,0,0,0,1,1,1
9,B.A Program (English + Geography),3,3,2,1,1,0,0,1,1,1
10,B.A Program (English + Human Development and Family Empowerment (HDFE)),5,3,2,1,1,0,0,0,1,0
11,B.A Program (English + History),4,2,1,1,0,0,0,1,1,1
12,B.A Program (English + Political Science),4,2,1,1,0,0,0,1,1,1
13,B.A Program (Geography + Hindi),2,2,1,1,0,0,0,0,0,0
14,B.A Program (Geography + History),2,1,0,1,1,0,0,0,0,0
15,B.A Program (Geography + Political Science),5,3,1,1,0,0,0,0,0,0
16,B.A Program (Geography + Sanskrit),2,1,1,0,0,0,0,0,0,0
17,B.A Program (Human Development and Family Empowerment (HDFE) + Hindi),2,2,1,0,1,0,0,0,1,0
18,B.A Program (Human Development and Family Empowerment (HDFE) + Philosophy),2,2,1,0,1,0,0,1,1,1
19,B.A Program (Human Development and Family Empowerment (HDFE) + Psychology),3,3,2,1,1,0,0,1,1,1
20,B.A Program (Human Development and Family Empowerment (HDFE) + Sociology),2,2,1,0,1,0,0,0,0,0
21,B.A Program (Hindi + History),3,3,2,1,1,0,0,0,1,0
22,B.A Program (Hindi + Political Science),5,2,2,1,2,0,0,0,2,0
23,B.A Program (Hindi + Psychology),2,2,1,1,0,0,0,0,0,0
24,B.A Program (History + Philosophy),3,2,2,1,2,0,0,1,1,1
25,B.A Program (History + Political Science),10,4,3,2,1,0,0,2,2,2
26,B.A Program (Sanskrit + History),2,2,1,0,1,0,0,0,1,0
27,B.A Program (History + Sociology),2,2,1,0,1,0,0,0,0,0
28,B.A Program (Philosophy + Psychology),5,3,1,1,0,0,0,1,0,1
29,B.A Program (Philosophy + Sanskrit),4,2,1,1,0,0,0,0,1,0
30,B.A Program (Philosophy + Sociology),2,2,1,0,1,0,0,0,0,0
31,B.A Program (Political Science + Sanskrit),3,2,1,0,0,0,0,0,1,0
32,B.A Program (Psychology + Sociology),3,1,1,0,1,0,0,0,0,0
,TOTAL,115,77,45,24,24,0,0,14,22,14
,,,,,,,,,,,
Janki Devi Memorial College (W),,,,,,,,,,,
,B.A. Program Combination,UR,OBC NCL,SC,ST,EWS,SIKH,CHRISTIAN,CW,PwBD,KM
1,B.A Program (Economics + HDFE),3,2,2,1,1,0,0,0,0,0
2,B.A Program (Economics + History),5,3,1,1,1,0,0,1,1,1
3,B.A Program (Economics + Mathematics),6,3,2,1,1,0,0,1,1,1
4,B.A Program (Economics + Music),2,1,1,1,1,0,0,0,0,0
5,B.A Program (Economics + Philosophy),2,1,1,1,1,0,0,0,0,0
6,B.A Program (Economics + Political Science),5,3,1,1,1,0,0,1,1,1
7,B.A Program (English + Economics),5,3,1,1,1,0,0,1,1,1
8,B.A Program (English + History),4,2,1,1,1,0,0,0,0,0
9,B.A Program (English + Mathematics),2,1,1,1,1,0,0,0,0,0
10,B.A Program (English + Philosophy),2,1,1,1,1,0,0,0,0,0
11,B.A Program (Hindi + History),5,3,1,1,1,0,0,1,1,1
12,B.A Program (Hindi + Music),2,1,1,1,1,0,0,0,0,0
13,B.A Program (Hindi + Political Science),5,3,1,1,1,0,0,1,1,1
14,B.A Program (History + Music),2,1,1,1,1,0,0,0,0,0
15,B.A Program (History + Philosophy),3,2,1,1,1,0,0,0,0,0
